# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
1             	smoothSolver	1.000000e+00	9.793730e-02	13	1.000000e+00	9.122880e-02	13	1.000000e+00	9.456050e-02	13	false	smoothSolver	1.000000e+00	5.845190e-02	5	true	GAMG	1.000000e+00	7.206630e-03	12	true	smoothSolver	1.872350e-03	1.545400e-04	3	true
2             	smoothSolver	1.485920e-02	1.353220e-03	14	5.671760e-01	5.374550e-02	14	5.647390e-01	5.380310e-02	14	false	smoothSolver	1.608550e-01	1.508290e-02	4	true	GAMG	4.799870e-01	2.473440e-03	10	true	smoothSolver	7.649190e-04	5.599510e-05	4	true
3             	smoothSolver	4.007030e-03	3.863760e-04	12	1.275070e-01	1.185990e-02	13	8.152310e-02	7.707020e-03	13	false	smoothSolver	4.915060e-02	4.745650e-03	4	true	GAMG	1.156420e-02	9.984100e-05	9	true	smoothSolver	5.081100e-04	4.337080e-05	4	true
4             	smoothSolver	2.327330e-03	2.273500e-04	11	6.992170e-02	6.818700e-03	11	4.241840e-02	4.223750e-03	11	false	smoothSolver	2.479330e-02	1.541820e-03	5	true	GAMG	7.629460e-03	5.683360e-05	7	true	smoothSolver	3.779420e-04	3.331630e-05	4	true
5             	smoothSolver	1.770010e-03	1.617090e-04	11	5.757050e-02	5.453840e-03	11	3.169700e-02	3.029750e-03	11	false	smoothSolver	1.568680e-02	1.008050e-03	5	true	GAMG	5.009350e-03	3.760580e-05	6	true	smoothSolver	3.174410e-04	2.770230e-05	4	true
6             	smoothSolver	1.463240e-03	1.456160e-04	11	4.576130e-02	4.550810e-03	11	2.309280e-02	2.303270e-03	11	false	smoothSolver	1.103290e-02	7.221630e-04	5	true	GAMG	4.592970e-03	3.387120e-05	5	true	smoothSolver	2.835210e-04	2.500590e-05	4	true
7             	smoothSolver	1.073560e-03	1.036000e-04	11	3.773240e-02	3.431380e-03	11	1.804590e-02	1.664670e-03	11	false	smoothSolver	8.117060e-03	5.382160e-04	5	true	GAMG	3.893040e-03	3.561260e-05	5	true	smoothSolver	2.528390e-04	2.275370e-05	4	true
8             	smoothSolver	7.989990e-04	6.897360e-05	12	3.316410e-02	3.103590e-03	11	1.479640e-02	1.408880e-03	11	false	smoothSolver	6.207010e-03	4.162470e-04	5	true	GAMG	3.404060e-03	2.229980e-05	5	true	smoothSolver	2.262360e-04	2.091080e-05	4	true
9             	smoothSolver	6.218430e-04	5.298410e-05	12	3.044180e-02	2.803960e-03	11	1.244050e-02	1.162720e-03	11	false	smoothSolver	4.927710e-03	3.328150e-04	5	true	GAMG	2.896490e-03	1.890690e-05	5	true	smoothSolver	2.041480e-04	1.942760e-05	4	true
10            	smoothSolver	5.180960e-04	4.390180e-05	12	2.960560e-02	2.693920e-03	11	1.077020e-02	9.933550e-04	11	false	smoothSolver	4.040450e-03	2.734970e-04	5	true	GAMG	2.365210e-03	1.203160e-05	5	true	smoothSolver	1.856180e-04	1.817470e-05	4	true
11            	smoothSolver	4.376390e-04	3.791050e-05	12	3.081360e-02	2.836540e-03	11	9.594760e-03	8.933840e-04	11	false	smoothSolver	3.401390e-03	2.300570e-04	5	true	GAMG	2.058400e-03	1.048600e-05	5	true	smoothSolver	1.696540e-04	1.115360e-05	5	true
12            	smoothSolver	3.626110e-04	3.191730e-05	12	3.575620e-02	3.206220e-03	11	8.881590e-03	8.061540e-04	11	false	smoothSolver	2.923810e-03	1.969240e-04	5	true	GAMG	1.783590e-03	9.991940e-06	5	true	smoothSolver	1.551910e-04	1.045540e-05	5	true
13            	smoothSolver	3.053840e-04	2.734070e-05	12	2.700940e-02	2.413280e-03	11	8.456140e-03	7.696630e-04	11	false	smoothSolver	2.558310e-03	1.716050e-04	5	true	GAMG	1.610630e-03	8.677580e-06	5	true	smoothSolver	1.426120e-04	9.799020e-06	5	true
14            	smoothSolver	2.638230e-04	2.366000e-05	12	1.761620e-02	1.559540e-03	11	8.306900e-03	7.548060e-04	11	false	smoothSolver	2.267780e-03	1.517890e-04	5	true	GAMG	1.455210e-03	7.719020e-06	5	true	smoothSolver	1.316390e-04	9.174740e-06	5	true
15            	smoothSolver	2.332360e-04	2.089610e-05	12	1.219180e-02	1.114180e-03	11	8.406080e-03	7.942060e-04	11	false	smoothSolver	2.032640e-03	1.364290e-04	5	true	GAMG	1.319260e-03	6.681400e-06	5	true	smoothSolver	1.217710e-04	8.580130e-06	5	true
16            	smoothSolver	2.063720e-04	1.836640e-05	12	9.052950e-03	8.336430e-04	11	8.908040e-03	8.495160e-04	11	false	smoothSolver	1.839620e-03	1.249030e-04	5	true	GAMG	1.190500e-03	5.956440e-06	5	true	smoothSolver	1.128670e-04	8.024830e-06	5	true
17            	smoothSolver	1.803820e-04	1.618810e-05	12	6.911010e-03	6.416790e-04	11	9.339700e-03	8.967280e-04	11	false	smoothSolver	1.681490e-03	1.155860e-04	5	true	GAMG	1.065230e-03	5.193410e-06	5	true	smoothSolver	1.046420e-04	7.488540e-06	5	true
18            	smoothSolver	1.569790e-04	1.435040e-05	12	5.442580e-03	5.120600e-04	11	9.875530e-03	9.554220e-04	11	false	smoothSolver	1.549640e-03	1.072530e-04	5	true	GAMG	9.535630e-04	4.582150e-06	5	true	smoothSolver	9.685730e-05	6.961220e-06	5	true
19            	smoothSolver	1.374900e-04	1.276870e-05	12	4.404340e-03	4.210990e-04	11	1.097210e-02	1.068730e-03	11	false	smoothSolver	1.433690e-03	9.936020e-05	5	true	GAMG	8.523180e-04	4.180950e-06	5	true	smoothSolver	8.963130e-05	6.458870e-06	5	true
20            	smoothSolver	1.212790e-04	1.141370e-05	12	3.631230e-03	3.523340e-04	11	1.328530e-02	1.303990e-03	11	false	smoothSolver	1.326120e-03	9.161860e-05	5	true	GAMG	7.717670e-04	3.918450e-06	5	true	smoothSolver	8.292720e-05	5.972380e-06	5	true
21            	smoothSolver	1.070720e-04	1.024700e-05	12	3.026330e-03	2.972250e-04	11	1.353560e-02	1.339060e-03	11	false	smoothSolver	1.223570e-03	8.399160e-05	5	true	GAMG	7.055370e-04	3.735330e-06	5	true	smoothSolver	7.692010e-05	5.516460e-06	5	true
22            	smoothSolver	9.509010e-05	9.255440e-06	12	2.525460e-03	2.513870e-04	11	8.940520e-03	7.622070e-04	12	false	smoothSolver	1.124820e-03	7.655950e-05	5	true	GAMG	6.513710e-04	3.687310e-06	5	true	smoothSolver	7.139080e-05	5.100000e-06	5	true
23            	smoothSolver	8.561150e-05	8.419420e-06	12	2.113540e-03	1.815100e-04	12	6.660910e-03	5.793020e-04	12	false	smoothSolver	1.029700e-03	6.943320e-05	5	true	GAMG	6.017430e-04	3.544440e-06	5	true	smoothSolver	6.642130e-05	4.726230e-06	5	true
24            	smoothSolver	7.787010e-05	7.722890e-06	12	1.804180e-03	1.568890e-04	12	5.305420e-03	4.684630e-04	12	false	smoothSolver	9.386280e-04	6.270190e-05	5	true	GAMG	5.561470e-04	3.220810e-06	5	true	smoothSolver	6.197010e-05	4.379580e-06	5	true
