# y+ ()       
# Time        	patch         	min           	max           	average       
50            	ball	3.595881e-01	9.089429e+00	5.777005e+00
100           	ball	3.661962e-01	8.679864e+00	5.076041e+00
150           	ball	2.380563e-01	8.660989e+00	4.884279e+00
200           	ball	3.626864e-01	8.599896e+00	4.767719e+00
250           	ball	3.386525e-01	8.635742e+00	4.674218e+00
300           	ball	2.342128e-01	8.616512e+00	4.664115e+00
350           	ball	2.072969e-01	8.639233e+00	4.716869e+00
400           	ball	1.920761e-01	8.638827e+00	4.691341e+00
450           	ball	2.392412e-01	8.632770e+00	4.658295e+00
500           	ball	3.585484e-01	8.624532e+00	4.674971e+00
550           	ball	2.171857e-01	8.620733e+00	4.708856e+00
600           	ball	1.491658e-01	8.615779e+00	4.739392e+00
650           	ball	3.166187e-01	8.609578e+00	4.735399e+00
700           	ball	2.647292e-01	8.611512e+00	4.701733e+00
750           	ball	1.587496e-01	8.609352e+00	4.676183e+00
800           	ball	1.151729e-01	8.608253e+00	4.681385e+00
850           	ball	1.310536e-01	8.606453e+00	4.695241e+00
900           	ball	2.036503e-01	8.606609e+00	4.719919e+00
950           	ball	3.038880e-01	8.607129e+00	4.723160e+00
1000          	ball	3.185910e-01	8.607091e+00	4.704027e+00
